Timestamp,Value
2025-04-11 23:37:13.686,1924
2025-04-11 23:37:13.687,1955
2025-04-11 23:37:13.723,1950
2025-04-11 23:37:13.724,1983
2025-04-11 23:37:13.724,1936
2025-04-11 23:37:13.789,1970
2025-04-11 23:37:13.790,1941
2025-04-11 23:37:13.790,1955
2025-04-11 23:37:13.846,1959
2025-04-11 23:37:13.847,1974
2025-04-11 23:37:13.899,1935
2025-04-11 23:37:13.899,1954
2025-04-11 23:37:13.900,1950
2025-04-11 23:37:13.947,1953
2025-04-11 23:37:13.947,1968
2025-04-11 23:37:13.948,1980
2025-04-11 23:37:14.006,1928
2025-04-11 23:37:14.008,1934
2025-04-11 23:37:14.069,1970
2025-04-11 23:37:14.069,1972
2025-04-11 23:37:14.069,1949
2025-04-11 23:37:14.119,1963
2025-04-11 23:37:14.121,1984
2025-04-11 23:37:14.137,1986
2025-04-11 23:37:14.184,1941
2025-04-11 23:37:14.184,1936
2025-04-11 23:37:14.237,1922
2025-04-11 23:37:14.237,1970
2025-04-11 23:37:14.237,1979
2025-04-11 23:37:14.289,1965
2025-04-11 23:37:14.289,1979
2025-04-11 23:37:14.289,1968
2025-04-11 23:37:14.351,1955
2025-04-11 23:37:14.351,1936
2025-04-11 23:37:14.398,1923
2025-04-11 23:37:14.409,1963
2025-04-11 23:37:14.409,1968
2025-04-11 23:37:14.456,1958
2025-04-11 23:37:14.458,1982
2025-04-11 23:37:14.458,1966
2025-04-11 23:37:14.525,1968
2025-04-11 23:37:14.525,1927
2025-04-11 23:37:14.572,1961
2025-04-11 23:37:14.572,1968
2025-04-11 23:37:14.572,1967
2025-04-11 23:37:14.635,1936
2025-04-11 23:37:14.635,1976
2025-04-11 23:37:14.635,1959
2025-04-11 23:37:14.684,1995
2025-04-11 23:37:14.684,1939
2025-04-11 23:37:14.751,1950
2025-04-11 23:37:14.752,1931
2025-04-11 23:37:14.752,1968
2025-04-11 23:37:14.796,1932
2025-04-11 23:37:14.796,1963
2025-04-11 23:37:14.796,1963
2025-04-11 23:37:14.853,1987
2025-04-11 23:37:14.853,1938
2025-04-11 23:37:14.911,1949
2025-04-11 23:37:14.911,1945
2025-04-11 23:37:14.911,1974
2025-04-11 23:37:14.968,1938
2025-04-11 23:37:14.968,1953
2025-04-11 23:37:14.968,1952
2025-04-11 23:37:15.021,1968
2025-04-11 23:37:15.021,1936
2025-04-11 23:37:15.072,1939
2025-04-11 23:37:15.149,1919
2025-04-11 23:37:15.149,1940
2025-04-11 23:37:15.149,1957
2025-04-11 23:37:15.149,1952
2025-04-11 23:37:15.149,1931
2025-04-11 23:37:15.213,1947
2025-04-11 23:37:15.213,1980
2025-04-11 23:37:15.214,1907
2025-04-11 23:37:15.243,1983
2025-04-11 23:37:15.244,1936
2025-04-11 23:37:15.305,1961
2025-04-11 23:37:15.306,1984
2025-04-11 23:37:15.306,1969
2025-04-11 23:37:15.355,1967
2025-04-11 23:37:15.356,1958
2025-04-11 23:37:15.356,1941
2025-04-11 23:37:15.413,1965
2025-04-11 23:37:15.414,1967
2025-04-11 23:37:15.506,1959
2025-04-11 23:37:15.506,1982
2025-04-11 23:37:15.506,1957
2025-04-11 23:37:15.612,1967
2025-04-11 23:37:15.612,1986
2025-04-11 23:37:15.612,1971
2025-04-11 23:37:15.612,1968
2025-04-11 23:37:15.612,1967
2025-04-11 23:37:15.646,1936
2025-04-11 23:37:15.646,1948
2025-04-11 23:37:15.646,1941
2025-04-11 23:37:15.700,1967
2025-04-11 23:37:15.734,1921
2025-04-11 23:37:15.734,1918
2025-04-11 23:37:15.759,2017
2025-04-11 23:37:15.759,1970
2025-04-11 23:37:15.820,1919
2025-04-11 23:37:15.820,1984
2025-04-11 23:37:15.821,1957
2025-04-11 23:37:15.862,1890
2025-04-11 23:37:15.862,1940
2025-04-11 23:37:15.862,2003
2025-04-11 23:37:15.931,1952
2025-04-11 23:37:15.931,1959
2025-04-11 23:37:15.995,1950
2025-04-11 23:37:15.995,1941
2025-04-11 23:37:15.995,1968
2025-04-11 23:37:16.050,1910
2025-04-11 23:37:16.050,1968
2025-04-11 23:37:16.050,1962
2025-04-11 23:37:16.101,1946
2025-04-11 23:37:16.101,1945
2025-04-11 23:37:16.154,1968
2025-04-11 23:37:16.154,1967
2025-04-11 23:37:16.154,1969
2025-04-11 23:37:16.210,1938
2025-04-11 23:37:16.211,1967
2025-04-11 23:37:16.211,1960
2025-04-11 23:37:16.263,1936
2025-04-11 23:37:16.263,1975
2025-04-11 23:37:16.314,2014
2025-04-11 23:37:16.316,2005
